freq,unit,mot_nrg,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,ALT,AL	: 	: 	: 	: 	: 	: 	: 	3757 	372 	5703 	4114 	6088 
A,NR,ALT,AT	: 	1285 	2074 	2389 	4317 	5868 	7406 	9841 	16393 	33466 	34242 	47642 
A,NR,ALT,BA	: 	39 	46 	49 	141 	136 	101 	137 	73 	229 	300 	333 
A,NR,ALT,BE	: 	843 	2234 	2146 	4453 	5408 	7931 	12525 	18919 	25866 	40652 	97043 
A,NR,ALT,CH	: 	2272 	3012 	4993 	4484 	5704 	6172 	14460 	20378 	32394 	40730 	53031 
A,NR,ALT,CY	: 	8 	1 	4 	7 	18 	5 	58 	42 	80 	403 	788 
A,NR,ALT,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	6726 	8584 	10661 
A,NR,ALT,DE	: 	46534 	50482 	56202 	65703 	33326 	51711 	78487 	208271 	370529 	488321 	539070 
A,NR,ALT,DK	: 	549 	1608 	1315 	1315 	753 	1557 	5515 	14263 	24951 	30805 	62587 
A,NR,ALT,EE	: 	137 	348 	46 	35 	35 	86 	655 	1008 	954 s	979 s	1515 s
A,NR,ALT,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	5568 e	6536 	10154 
A,NR,ALT,ES	: 	2088 	2589 	5121 	5522 	12531 	34090 	42864 	33560 	40091 	47636 	82720 
A,NR,ALT,FI	: 	559 	650 	506 	402 	936 	1937 	4039 	6086 	11075 	15153 	30007 
A,NR,ALT,FR	: 	11975 	13201 	19181 	23419 	26597 	34030 	45968 	129367 	212089 	254315 	366777 
A,NR,ALT,GE	: 	: 	: 	: 	: 	83 	22 	23 	23 	44 	206 	245 
A,NR,ALT,HR	: 	272 	971 	1063 	1544 	1542 	2404 	3341 	: 	2916 	2638 	13607 
A,NR,ALT,HU	: 	283 	176 	270 	282 	808 	1382 	1962 	3413 	5040 	5603 	6584 p
A,NR,ALT,IE	: 	640 	1152 	2212 	3346 	631 	1252 	3666 	4075 	9515 	16597 	22498 
A,NR,ALT,IS	: 	: 	: 	: 	: 	862 	790 	1149 	2586 	4254 	: 	: 
A,NR,ALT,IT	: 	184666 	197644 	185333 	146790 	163320 	169393 	185884 	158381 	208973 	178126 	209366 
A,NR,ALT,LI	: 	21 	21 	40 	48 	59 	53 	104 	166 	295 	319 	338 
A,NR,ALT,LT	: 	2 	60 	65 	81 	56 	244 	430 	914 	1611 	1877 	2215 
A,NR,ALT,LU	: 	: 	: 	: 	: 	: 	: 	991 	2490 	4671 	6417 	11082 
A,NR,ALT,LV	: 	: 	385 	157 	100 	130 	138 	251 	492 	763 	1413 	2020 
A,NR,ALT,MD	: 	2119 	2357 	2081 	2530 	5158 	4280 	6296 	5571 	8988 	6520 	8974 
A,NR,ALT,ME	: 	: 	: 	: 	13 	4 	1 	6 	: 	22 	: 	: 
A,NR,ALT,MT	: 	27 	94 	38 	24 	27 	286 	283 	198 	429 	999 	1522 
A,NR,ALT,NL	: 	5248 	7135 	4256 	5514 	10432 	25959 	62518 	74986 	66048 	75640 	116115 
A,NR,ALT,NO	: 	9021 	18573 	25942 	24257 	33120 	46209 	60320 	82239 	116436 	142531 	106332 
A,NR,ALT,PL	58884 	3525 b	4873 s	5614 s	6659 s	10619 s	8243 s	9640 s	12931 s	20671 s	23534 s	29683 
A,NR,ALT,PT	: 	: 	: 	: 	: 	3723 	6383 	9173 	9822 	17198 	24138 	47807 p
A,NR,ALT,RO	: 	392 	802 	762 	1068 	1141 	1964 	2922 	12122 	22296 	25203 	33036 
A,NR,ALT,RS	: 	: 	: 	: 	: 	: 	: 	: 	1599 	3902 	4175 	: 
A,NR,ALT,SE	: 	7610 	9013 	9434 	7711 	9477 	11487 	21958 	31525 	60416 	99960 	118536 
A,NR,ALT,SI	: 	10 	407 	599 	881 	1838 	2401 	3274 	4920 	10440 	11951 	4810 
A,NR,ALT,TR	: 	14495 	11404 	13442 	13792 	25508 	26652 	22779 	34876 	35216 	19481 	78659 
A,NR,ALT,UA	: 	: 	: 	: 	: 	: 	: 	7647 	2055 	3202 	2659 	7647 
A,NR,ALT,UK	: 	: 	: 	10119 	10589 	13744 	15715 	: 	: 	190471 	266796 	: 
A,NR,ALT,XK	: 	: 	: 	: 	: 	4 	2 	0 	: 	20 	: 	: 
A,NR,BIFUEL,AL	: 	: 	: 	: 	: 	: 	: 	: 	0 	5310 	3432 	4246 
A,NR,BIFUEL,AT	: 	176 	511 	536 	367 	321 	532 	159 	21 	16 	12 	5 
A,NR,BIFUEL,BA	: 	39 	46 	48 	140 	129 	97 	123 	62 	200 	266 	197 
A,NR,BIFUEL,BE	: 	199 	795 	645 	1592 	1948 	3215 	477 	1073 	2177 	2488 	3468 
A,NR,BIFUEL,CH	: 	444 	839 	897 	692 	639 	691 	157 	60 	26 	23 	15 
A,NR,BIFUEL,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIFUEL,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	2704 	: 	: 
A,NR,BIFUEL,DK	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,NR,BIFUEL,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	2295 e	3066 	3380 
A,NR,BIFUEL,ES	: 	: 	: 	0 	2462 	6603 	24522 	24247 	11072 	14226 	15208 	26717 
A,NR,BIFUEL,FI	: 	83 	86 	140 	127 	368 	979 	7 	: 	0 	0 	0 
A,NR,BIFUEL,FR	: 	2850 	2314 	1579 	450 	1033 	2275 	2107 	16335 	46291 	46841 	62882 
A,NR,BIFUEL,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,BIFUEL,HR	: 	171 	504 	517 	973 	822 	1135 	1137 	: 	1794 	1575 	1287 
A,NR,BIFUEL,HU	: 	234 	99 	143 	91 	45 	73 	124 	363 	721 	889 	535 p
A,NR,BIFUEL,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,NR,BIFUEL,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,BIFUEL,LI	: 	3 	2 	5 	1 	1 	4 	0 	0 	0 	0 	0 
A,NR,BIFUEL,LT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIFUEL,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 	22 s	33 
A,NR,BIFUEL,LV	: 	: 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIFUEL,MT	: 	5 	24 	11 	5 	3 	1 	2 	20 	13 	9 	6 
A,NR,BIFUEL,NL	: 	: 	: 	0 	0 	: 	: 	: 	: 	0 	0 	: 
