freq,wst_oper,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022
A,GEN,NR,AT	73993 	59904 	47926 	48077 	58462 	60272 	54424 	50944 	57722 	38275
A,GEN,NR,BE	134506 	126835 	107425 	106458 	120896 	142852 	134629 	110161 	103659 	81350
A,GEN,NR,BG	61673 	80862 	85946 	92706 	102442 	99835 	85670 	68635 	87362 	95084
A,GEN,NR,CY	13212 	11160 	8293 	5151 	5453 	7523 	10170 	9367 	9851 	7830
A,GEN,NR,CZ	121838 	131987 	139440 	145928 	154306 	169715 	178683 	167814 	174638 	160427
A,GEN,NR,DE	500322 	512163 	473386 	412801 	506531 	560455 	461266 	406044 	396773 	292877
A,GEN,NR,DK	125650 	104413 	98929 	89039 	117124 	117519 	119551 	95084 	104515 	83305
A,GEN,NR,EE	14712 	14720 	12884 	11184 	16236 	18147 	15293 	15501 	20403 	14481
A,GEN,NR,EL	86205 	82863 	87050 	46573 	39761 	47141 	49533 	44759 	53516 	53740
A,GEN,NR,ES	734776 	724820 	689760 	611446 	620055 	748306 	813768 	713404 	727270 	637210
A,GEN,NR,EU27_2020	5085000 i	5043000 	4968000 	4823000 	5300000 	6105000 	6074000 	5370000 	5683000 i	4667000 i
A,GEN,NR,FI	99300 	94540 	99630 	114460 	128280 	120040 	100922 	109099 	114404 	105875
A,GEN,NR,FR	1115280 	1084766 	1016326 	1046083 	1138742 	1571776 	1623522 	1331185 	1345831 	1168225
A,GEN,NR,HR	32135 e	19388 	16900 	20386 	21074 	27404 	40892 	46919 	32929 	33048
A,GEN,NR,HU	14897 	15283 	16788 	15141 	15573 	19280 	20743 	19526 	17614 	16934
A,GEN,NR,IE	92467 	86950 	74910 	98213 	140788 	162521 	149445 	118867 	145628 	105494
A,GEN,NR,IS	4463 	5245 	6063 	6527 	9483 	11392 	11635 	10927 	9624 	8155
A,GEN,NR,IT	876052 	853584 	958245 	978960 	990876 	1030318 	1094731 	1002401 	1172305 	797046
A,GEN,NR,LI	326 	188 	230 	260 	326 	213 	180 	195 	131 	12
A,GEN,NR,LT	26482 	29982 	26546 	21306 	21066 	20629 	22001 	31147 	32778 	31477
A,GEN,NR,LU	2290 	2225 	1617 	1854 	1972 	3103 	2827 	2416 	2497 	1533
A,GEN,NR,LV	9003 	9268 	8924 	8049 	11439 	11435 	11592 	11885 	10247 	11628
A,GEN,NR,MT	1198 	2646 	4509 	5632 	7570 	7599 	6616 	8108 	9131 	6330
A,GEN,NR,NL	183451 	188487 	167777 	197488 	199506 	214013 	177404 	194982 	197046 	141201
A,GEN,NR,NO	141452 	139920 	145098 	142280 	143664 	143767 	144933 	138203 	129222 	117067
A,GEN,NR,PL	402416 	454737 	478202 	380529 	495805 	514210 	450066 	386826 	445671 	394193
A,GEN,NR,PT	92112 	86713 	84158 	88559 	99910 	107140 	111112 	101378 	117997 	109538
A,GEN,NR,RO	37989 	42138 	41886 	46572 	49830 	67344 	84621 	79360 	: 	:
A,GEN,NR,SE	189748 	186967 	188810 	186875 	192395 	204458 	186370 	175748 	171576 	157981
A,GEN,NR,SI	: 	6260 	5980 	7093 	8590 	12141 	15182 	15493 	11574 	8225
A,GEN,NR,SK	36858 	29175 	26176 	36931 	35328 	39343 	52722 	53355 	40762 	34472
A,GEN,T,AT	65475 	53310 	43934 	45338 	57065 	61149 	53576 	50940 	59293 	39623
A,GEN,T,BE	145652 	138703 	119054 	119188 	148459 	177439 	168810 	138468 	129979 	102334
A,GEN,T,BG	62723 	82258 	88066 	92111 	104457 	103032 	88372 	73521 	90127 	102324
A,GEN,T,CY	11759 	10468 	8152 	5094 	5159 	7267 	9926 	9030 	9595 	7720
A,GEN,T,CZ	114833 	122450 	131392 	139881 	160587 	171412 	185830 	177885 	188609 	176470
A,GEN,T,DE	490771 	502656 	474379 	420113 	530311 	595761 	501658 	456586 	444950 	327682
A,GEN,T,DK	128869 e	118597 	109762 	100957 	134331 	136717 	143357 	113150 	129055 	101839
A,GEN,T,EE	16391 	16617 	14857 	14113 	19539 	22015 	18876 	19427 	25865 	18828
A,GEN,T,EL	81619 	79668 	84046 	45570 	38654 	45971 	48650 	43658 	52169 	53513
A,GEN,T,ES	772110 	761648 	724807 	642514 	651560 	858686 	949916 	840466 	864831 	765981
A,GEN,T,EU27_2020	5332000 i	5279000 	5217000 	5130000 	5708000 	6758000 	6909000 	6156000 	6535000 i	5463000 i
A,GEN,T,FI	99280 	101822 	107302 	123273 	138158 	129283 	113134 	122300 	128247 	118686
A,GEN,T,FR	1210605 	1115190 	1057580 	1103927 	1221498 	1718098 	1802746 	1488557 	1517628 	1336455
A,GEN,T,HR	29017 	22584 	19617 	18912 	24662 	30616 	45677 	53033 	37807 	39838
A,GEN,T,HU	14865 	13887 e	13380 	12527 	14249 	15925 	21858 	20613 	18490 	18164
A,GEN,T,IE	98015 	92208 	79405 	104105 	149235 	172273 	158412 	126000 	154365 	111824
A,GEN,T,IS	5779 	6834 	7721 	8536 	12656 	15692 	16175 	15882 	13669 	11768
A,GEN,T,IT	959542 	953690 	1036562 	1086425 	1096145 	1201500 	1292768 	1223053 	1404154 	1013939
A,GEN,T,LI	354 	202 	261 	291 	373 	251 	210 	238 	167 	14
A,GEN,T,LT	31037 	33265 	31037 	27752 	27140 	27579 	30084 	40925 	43382 	41602
A,GEN,T,LU	2501 	2258 	1746 	2063 	2048 	3413 	3471 	2999 	3137 	1925
A,GEN,T,LV	9037 	8983 	8989 	8253 	11681 	11061 	10999 	12694 	11206 	13123
A,GEN,T,MT	1050 	2835 	4803 	6322 	8182 	7425 	7096 	8350 	11324 	8332
A,GEN,T,NL	189138 	196215 	174152 	204400 	206489 	223216 	186629 	208631 	210248 	151367
A,GEN,T,NO	163518 	158389 	177542 	176216 	180884 	188109 	190774 	184583 	174275 	163816
A,GEN,T,PL	401639 	462202 	493468 	395216 	522299 	551221 	555826 	440183 	517179 	463347
